,subject,topic_label
14435,6 new walmart marketplace orders received,New Orders and Shipments
14436,what is your walmart sales plan of 2k24?,New Orders and Shipments
14437,walmart seller support resolved case # 06363944. please provide your feedback.,Disputes and Cases
14438,re: unshipped order,Order Requests and Tickets
14439,new order received,New Orders and Shipments
14440,ticket has been created for order id #vv-us-cda-27878,Order Requests and Tickets
14441,true fabrications: credit memo 202366cm,System Notifications
14442,inventory report,Promotions and Offers
14443,sears order notification: po 1756561,Delivery Status and Failures
14444,youâ€™ve received an offer for walker edison alexander classic solid wood stackable jr twin vir -b07ndpl8dn.,Customer Messages
14445,happycreek321 sent a message about broccoli pal puppet #126027752074,Delivery Status and Failures
14446,your e-mail to shelley flanary,Miscellaneous/Unknown
14447,yessss! youâ€™ve got access to this weekâ€™s diys and dã©cor and floral deals.,Promotions and Offers
14448,discover amazon is sustainable packaging program and protect your products!,Promotions and Offers
14449,â­• confirm your seat asap (passive-income from social media & ai),Customer Messages
14450,we are here to help!    [ ref:!00d700kccm.!5004u031jgif:ref ],Customer Messages
14451,consulta sobre el envã­o del cliente de amazon erick fernandez,Delivery Status and Failures
14452,"message from walmart.com customer, ref id: e1f81d8571eb4f4d8fc81819bcfdb52f",Customer Messages
14453,kiehl is calendula herbal extract alcohol free toner - blowout,Promotions and Offers
14454,4 new walmart marketplace orders received,New Orders and Shipments
14455,you have been invited!,System Notifications
14456,the post most: students reported her for a lesson on race. then she taught it again.,New Orders and Shipments
14457,credit memo for vir ventures inc. for invoice number - inv-15994418,Invoices and Support
14458,"zero complaints filed against your company in january, 2024!",Promotions and Offers
14459,credit memo for vir ventures inc. for invoice number - inv-15780294,Invoices and Support
14460,drive sales on tiktok shop with our new product opportunities tool!,Customer Inquiries
14461,walmart drop ship vendor newsletter | february 2024,New Orders and Shipments
14462,payment receipt credit on account from xstatic pro inc / prox cases,Disputes and Cases
14463,your e-mail to arlene marrocco,Miscellaneous/Unknown
14464,market place complaint notification case-  20231223009311*159l0523,Delivery Status and Failures
14465,credit memo for vir ventures inc. for invoice number - inv-16673885,Invoices and Support
14466,sagire-25 sent a message about 1602333 pressr washr elc 1800psi karcher k3000 1800 psi electric 1.3 gpm pres... #364570193885,Delivery Status and Failures
14467,summary of failures for google apps script: not found,System Notifications
14468,[free masterclass] strategies to dominate affiliate marketing,Promotions and Offers
14469,shipping inquiry from amazon customer arlene marrocco,Customer Inquiries
14470,credit request for po  has been submitted    [ ref:!00d700kccm.!5004u031jfqa:ref ],Customer Messages
14471,credit memo for vir ventures inc. for invoice number - inv-16628572,Invoices and Support
14472,re: fc order id 69083534,Order Requests and Tickets
14473,your e-mail to kelly hood,Customer Inquiries
14474,your e-mail to volodymyr,Miscellaneous/Unknown
14475,printer ink from $6 | $85 11' x 11' gazebo | nfl gear from $5 | $41 ice maker,Customer Messages
14476,invoice from aps,Invoices and Support
14477,elevate your walmart business with expert account management!,System Notifications
14478,elevate your walmart business with expert account management!,System Notifications
14479,"fwd: statement of account from us ceva freight, llc to : virventures inc - 88256363",Customer Messages
14480,your e-mail to mary grasek,Customer Inquiries
14481,elevate your walmart business with expert account management!,System Notifications
14482,"re: virventurein sent a message about the jennifer- luxury, knee-length chiffon petticoat medium - light blue #355029291719",Delivery Status and Failures
14483,we are here to help!    [ ref:!00d700kccm.!5004u031jg56:ref ],Customer Messages
14484,we are here to help!    [ ref:!00d700kccm.!5004u031jg5b:ref ],Customer Messages
14485,inquiry from amazon customer kelly hood,Customer Inquiries
14486,product details inquiry from amazon customer volodymyr,Customer Inquiries
14487,we are here to help!    [ ref:!00d700kccm.!5004u031jfqa:ref ],Customer Messages
14488,we are here to help!    [ ref:!00d700kccm.!5004u031jfxl:ref ],Customer Messages
14489,we are here to help!    [ ref:!00d700kccm.!5004u031jffi:ref ],Customer Messages
14490,credit memo for vir ventures inc. for invoice number - inv-16660978,Invoices and Support
14491,order shipped to your customer,Order Requests and Tickets
14492,we are here to help!    [ ref:!00d700kccm.!5004u031jfdc:ref ],Customer Messages
14493,credit memo for vir ventures inc. for invoice number - inv-16535900,Invoices and Support
14494,credit memo for vir ventures inc. for invoice number - inv-16623768,Invoices and Support
14495,credit memo for vir ventures inc. for invoice number - inv-16670016,Invoices and Support
14496,credit memo for vir ventures inc. for invoice number - inv-16657570,Invoices and Support
14497,automatic reply: [external] urgent-attention_virventures,Delivery Status and Failures
14498,crarch sent a message about levy is deluxe gig bag for classical guitars - tan / tan #195971437321,Delivery Status and Failures
14499,sla shipments,New Orders and Shipments
14500,your e-mail to isabela leite,Miscellaneous/Unknown
14501,what can a digital twin do for you?,Customer Messages
14502,your email to amazon.com marketplace,New Orders and Shipments
14503,lingerie for starting the month of love,System Notifications
14504,attn dealers â€” sionyx is installation rebate is back!,System Notifications
14505,follow - up for order id #vv-us-cda-27897,Order Requests and Tickets
14506,product customization request from amazon customer shelley flanary(order: 111-7999402-9871448),Customer Inquiries
14507,sears marketplace notification - products in your catalog have been reinstated,Delivery Status and Failures
14508,credit request for po  has been submitted    [ ref:!00d700kccm.!5004u031j6h1:ref ],Customer Messages
14509,2024 adam pricing reminder,System Notifications
14510,action required: please review your flagged orders,Order Requests and Tickets
14511,under $50  valentine is day gifts,Promotions and Offers
14512,new & now for 2024,New Orders and Shipments
14513,youâ€™ve got a chat message for modway aveline gel infused memory mattress twin #39100.,Customer Messages
14514,ellan0352-sbzel8jk sent a message about acrylic h.b. tumbler palm tree design 20 oz. set of 4 #354938522825,Delivery Status and Failures
14515,"dipa8272 has sent a question about item #134906028566, ending on 25-feb-2024 14:29:11 ist - speaker - jensen jets, 10",Delivery Status and Failures
14516,10 warning signs you may have an unhealthy gut.,Invoices and Support
14517,"you have been rated: dii valentine is day table top collection, placemat/table runner #74356",Delivery Status and Failures
14518,"infinity.skies sent a message about wheelchairs: 14 wide kidz pediatric wheelchair #364698129508""",Delivery Status and Failures
14519,new vendor proposal: garden dã©cor procurement from india,New Orders and Shipments
14520,shipping: bexwhitworth sent a message about flukers grub bag calcium fortified treats for tortoises #126145972657,Delivery Status and Failures
14521,"customer, you have a good eye",New Orders and Shipments
14522,sale extended: save 50% on grammarly premium,System Notifications
14523,7-figures after today is workshop ?,Delivery Status and Failures
14524,new invoice 0613965 & tracking from pyramid time systems,System Notifications
14525,new invoice 0613966 & tracking from pyramid time systems,System Notifications
14526,new invoice 0613967 & tracking from pyramid time systems,System Notifications
14527,new invoice 0613972 & tracking from pyramid time systems,System Notifications
14528,new invoice 0613973 & tracking from pyramid time systems,System Notifications
14529,new invoice 0613963 & tracking from pyramid time systems,System Notifications
14530,buybox items details report is ready.,Customer Inquiries
14531,form gst drc â€“ 13 in case of m/s store indya private limited having gstin no.- 27aatcs1659k1zl,System Notifications
14532,summary of failures for google apps script: gmail reader v1.3 -- 1 hr late,System Notifications
14533,hello cs rosequake-official take you to next level of pleasure best,Promotions and Offers
14534,security alert,Customer Inquiries
14535,100 days of learning! âœï¸ save on supplies for your kidsâ€™ 100th day of school celebration.,New Orders and Shipments
14536,stand out with versatile displays.,Customer Messages
14537,thanks for getting in touch - untitled ticket 344489,Customer Messages
14538,important information about your pinterest account,System Notifications
14539,shipping: oceanbound_2008 sent a message about wntr hat sequin pm gn/rd (pack of 12) #364694364631,Delivery Status and Failures
14540,when to post on socials | valentineâ€™s day marketing ideas | mastering your marketing & more!,System Notifications
14541,"virventures, inc. tracking file -02-01-2024",Customer Inquiries
14542,nan,Miscellaneous/Unknown
14543,reset your password on pinterest,Delivery Status and Failures
14544,nan,Miscellaneous/Unknown
14545,nan,Miscellaneous/Unknown
14546,nan,Miscellaneous/Unknown
14547,fedex has received your email - email reference number: 75714876,New Orders and Shipments
